Ürün Kodu,Ürün Adı,Renk,Monamise Satış Fiyatı,İndirim Oranı (%),Monamise İndirimli Net Satış Fiyatı
18K18500,Yakası Dantelli Kısa Kollu Gecelik,BORDO,"1673,9",30.00,"1171,73"
18K18502,Kısa Kollu Dantelli V Yaka Şort Takımı,LACİVERT,"1791,9",30.00,"1254,33"
18K18503,Yakası Dantelli Kısa Kollu Gecelik,LACİVERT,"1673,9",30.00,"1171,73"
18K18504,Yakası Dantelli Kısa Kollu Gecelik,VİZON,"1673,9",30.00,"1171,73"
18K18514,Kısa Kollu Dantelli V Yaka Şort Takımı,VİZON,"1791,9",30.00,"1254,33"
18K18515,Kısa Kollu Dantelli V Yaka Şort Takımı,AÇIK YEŞİL,"1791,9",30.00,"1254,33"
18K18516,Kısa Kollu Dantelli V Yaka Şort Takımı,KIRMIZI,"1791,9",30.00,"1254,33"
18K18517,Yakası Dantelli Kısa Kollu Gecelik,AÇIK YEŞİL,"1673,9",30.00,"1171,73"
18K18518,Yakası Dantelli Kısa Kollu Gecelik,KIRMIZI,"1673,9",30.00,"1171,73"
18K18521,Önü Düğmeli Dantelli Hamile Lohusa Gecelik,YEŞİL,"1727,9",30.00,"1209,53"
18K18610,Göğüs ve Sırt Dekolteli Dantelli ve Yırtmaçlı Saten Gecelik,SİYAH,"2633,9",30.00,"1843,73"
18K18611,Dantelli Tüllü ve Dekolteli Saten Sabahlık Takımı,SİYAH,"3325,9",30.00,"2328,13"
18K18612,Dantelli ve Dekolteli Saten Şort Takımı,SİYAH,"2543,9",30.00,"1780,73"
18K18613,Dantelli ve Dekolteli Saten Sabahlık Takımı,SİYAH,"4545,9",30.00,"3182,13"
18K18614,Dantelli ve Dekolteli Saten Pijama Takımı,SİYAH,"3231,9",30.00,"2262,33"
18K18615,Uzun Kollu Dantelli ve Kuşaklı Sabahlık,SİYAH,"2805,9",30.00,"1964,13"
18K18616,Uzun Kollu Önü Düğmeli Gömlek Yaka Pijama Takımı,SİYAH,"2989,9",30.00,"2092,93"
18K18617,Uzun Kollu Dantelli ve Dekolteli Pijama Takımı,SİYAH,"2241,9",30.00,"1569,33"
18K18618,Dantelli Dekolteli ve Yırtmaçlı Gecelik,SİYAH,"1879,9",30.00,"1315,93"
18K18619,Kısa Kollu ve Dantelli V Yaka Pijama Takımı,SİYAH,"2185,9",30.00,"1530,13"
18K18620,Kısa Kollu ve Dantelli V Yaka Gecelik,SİYAH,"1813,9",30.00,"1269,73"
18K18621,Göğüs ve Sırt Dekolteli Dantelli Sabahlık Takımı,SİYAH,"3041,9",30.00,"2129,33"
18K18622,Göğüs ve Sırt Dekolteli Dantelli Şort Takımı,SİYAH,"1989,9",30.00,"1392,93"
18K18623,Dantelli ve Dekolteli Yırtmaçlı Gecelik,SİYAH,"1947,9",30.00,"1363,53"
18K18624,Dantelli Tüllü ve Dekolteli Saten Sabahlık Takımı,SİYAH,"4665,9",30.00,"3266,13"
18K18625,Dantelli Tüllü ve Dekolteli Saten Şort Takımı,SİYAH,"2455,9",30.00,"1719,13"
18K18626,Dantelli ve Tüllü Uzun Kollu Önü Düğmeli Saten Pijama Takımı,SİYAH,"3811,9",30.00,"2668,33"
18K18631,Göğüs ve Sırt Dekolteli Dantelli ve Yırtmaçlı Gecelik,SİYAH,"1961,9",30.00,"1373,33"
18K18632,Dantelli ve Dekolteli Yırtmaçlı Gecelik,SİYAH,"1899,9",30.00,"1329,93"
18K18655,Dantelli ve Dekolteli Yırtmaçlı Gecelik,BEYAZ,"1899,9",30.00,"1329,93"
18K18657,Dantelli ve Dekolteli Yırtmaçlı Gecelik,BEYAZ,"1989,9",30.00,"1392,93"
18K18658,Uzun Kollu Önü Düğmeli Gömlek Yaka Pijama Takımı,BEYAZ,"2989,9",30.00,"2092,93"
18K18659,Dantelli ve Dekolteli Saten Şort Takımı,BEYAZ,"2543,9",30.00,"1780,73"
18K18660,Dantelli ve Dekolteli Saten Sabahlık Takımı,BEYAZ,"4545,9",30.00,"3182,13"
18K18661,Dantelli ve Dekolteli Saten Pijama Takımı,BEYAZ,"3231,9",30.00,"2262,33"
18K18662,Uzun Kollu Dantelli ve Kuşaklı Sabahlık,BEYAZ,"2805,9",30.00,"1964,13"
18K18663,Göğüs ve Sırt Dekolteli Dantelli ve Yırtmaçlı Saten Gecelik,BEYAZ,"2633,9",30.00,"1843,73"
18K18664,Dantelli Tüllü ve Dekolteli Saten Sabahlık Takımı,BEYAZ,"3325,9",30.00,"2328,13"
18K18665,Göğüs ve Sırt Dekolteli Dantelli Saten Gecelik,BEYAZ,"2699,9",30.00,"1889,93"
18K18666,Dantelli Tüllü ve Dekolteli Saten Sabahlık Takımı,BEYAZ,"4665,9",30.00,"3266,13"
18K18667,Dantelli Tüllü ve Dekolteli Saten Şort Takımı,BEYAZ,"2455,9",30.00,"1719,13"
18K18668,Dantelli ve Tüllü Uzun Kollu Önü Düğmeli Saten Pijama Takımı,BEYAZ,"3811,9",30.00,"2668,33"
18Y18451,Yaprak ve Kuş Desenli Önü Boydan Düğmeli Alt Üst Takım,YEŞİL,"1254,9",35.00,"815,69"
19K19089,Çizgi Desenli Askılı Şort Takımı,MAVİ,"802,9",35.00,"521,89"
19K19128,Puantiye Desenli Püsküllü Kısa Kollu Kimono,BEYAZ,"1317,9",35.00,"856,64"
19K19157B,Dekolteli Brode Dantelli Büyük Beden Gecelik,PUDRA,"1222,9",35.00,"794,89"
19K19158B,Dekolteli Brode Dantelli Büyük Beden Kapri Takımı,PUDRA,"1270,9",35.00,"826,09"
19K19159,Dekolteli Brode Dantelli Sabahlık Takımı,GRİ,"1099,9",35.00,"714,94"
19K19160,Dekolteli Brode Dantelli Askılı Şort Takımı,GRİ,"1072,9",35.00,"697,39"
19K19161,Önü Düğmeli Brode Dantelli Pijama Takımı,GRİ,"1208,9",35.00,"785,79"
19K19162,Göğüs ve Sırt Dekolteli Brode Dantelli Yırtmaçlı Gecelik,EKRU,"1398,9",35.00,"909,29"
19K19163,Brode Dantelli Önü Düğmeli Şort Takımı,EKRU,"1013,9",35.00,"659,04"
19K19165,Göğüs ve Sırt Dekolteli Brode Dantelli Sabahlık Takımı,PUDRA,"1350,9",35.00,"878,09"
19K19166,Göğüs ve Sırt Dekolteli Brode Dantelli Şort Takımı,PUDRA,"1080,9",35.00,"702,59"
19K19167,Önü Düğmeli Brode Dantelli Kısa Kollu Gecelik,PUDRA,"1038,9",35.00,"675,29"
19K19168,Önü Düğmeli Brode Dantelli Pijama Takımı,PUDRA,"1189,9",35.00,"773,44"
19K19171,Önü Düğmeli Brode Dantelli Pijama Takımı,SİYAH,"899,9",35.00,"584,94"
19K19172,Önü Düğmeli Brode Dantelli Yırtmaçlı Kapri Takımı,SİYAH,"1204,9",35.00,"783,19"
19K19179B,Yakası Detaylı Brode Dantelli Büyük Beden Gecelik,VİZON,"1123,9",35.00,"730,54"
19K19180,Yakası Detaylı Brode Dantelli Kapri Takımı,VİZON,"1189,9",35.00,"773,44"
19K19180B,Yakası Detaylı Brode Dantelli Büyük Beden Kapri Takımı,VİZON,"1263,9",35.00,"821,54"
19K19185,Dekolteli Brode Dantelli Yırtmaç Detaylı Şort Takımı,GRİ,"1029,9",35.00,"669,44"
19K19188,Dekoteli Yakası Brode Dantelli Gecelik,EKRU,"963,9",35.00,"626,54"
19K19189,Dekolteli Brode Dantelli Yırtmaç Detaylı Şort Takımı,EKRU,"1097,9",35.00,"713,64"
19K19197,Dekolteli Brode Dantelli Yırtmaç Detaylı Şort Takımı,VİZON,"994,9",35.00,"646,69"
19K19214BAT,Yakası ve Omzu Dantelli Önü Düğmeli Büyük Beden Gecelik,PEMBE,"772,9",35.00,"502,39"
19K19215,Yakası ve Omzu Dantelli Önü Düğmeli Pijama Takımı,PEMBE,"1166,9",35.00,"758,49"
19K19224BAT,Önü Düğmeli Dantelli Büyük Beden Gecelik,BORDO,"778,9",35.00,"506,29"
19K19286,Brode Dantelli Önü Düğmeli Pijama Takımı,VİZON,"1186,9",35.00,"771,49"
19K19290,Dekolteli Brode Dantelli Askılı Şort Takımı,PARLEMENT MAVİSİ,"991,9",35.00,"644,74"
19K19291,Yakası Kolu ve Omzu Brode Dantelli Önü Düğmeli Gecelik,PARLEMENT MAVİSİ,"1071,9",35.00,"696,74"
19K19298,Brode Dantelli Önü Düğmeli Hamile Lohusa Pijama Takımı,PARLEMENT MAVİSİ,"1317,9",35.00,"856,64"
19K19310,Dekolteli Brode Dantelli Askılı Şort Takımı,KAHVE,"1300,9",35.00,"845,59"
19K19311,Yakası Kolu ve Omzu Brode Dantelli Önü Düğmeli Gecelik,KAHVE,"1609,9",35.00,"1046,44"
19K19313,Yakası Kolu ve Omzu Brode Dantelli Önü Düğmeli Gecelik,KAHVE,"1629,9",35.00,"1059,44"
19K19314,Göğüs ve Sırt Dekolteli Brode Dantelli Yırtmaçlı Gecelik,KAHVE,"1507,9",35.00,"980,14"
19K19315,Yakası ve Omzu Dantelli Önü Düğmeli Gecelik,KAHVE,"1953,9",30.00,"1367,73"
20K20120,Yakası Damla Detaylı Dantelli Gecelik,SİYAH,"772,9",35.00,"502,39"
20Y20005,Yaprak Desenli Önü Düğmeli Hamile Lohusa Gecelik,SİYAH,"812,9",35.00,"528,39"
20Y20015,"Koala Desenli ve Baskılı ""Donut Panic"" Şort Takımı",PEMBE,"789,9",35.00,"513,44"
20Y20023,Çiçek Desenli Dantelli Önü Düğmeli Şort Takımı,SİYAH,"801,9",35.00,"521,24"
20Y20049,"Kuş-Yaprak Desenli ve Baskılı ""Little"" Sabahlık Takımı",YEŞİL,"863,9",35.00,"561,54"
20Y20076,Çizgi Desenli Yırtmaçlı Önü Fermuarlı Elbise,SİYAH-BEYAZ,"755,9",35.00,"491,34"
21K21116,Balıkçı Yaka Lotus Çiçeği Nakışlı Alt Üst Takım,VİZON,"960,9",35.00,"624,59"
21K21117,Uzun Kollu Dantel Detaylı ve Önü Düğmeli Gecelik,VİZON,"845,9",35.00,"549,84"
21K21123,Balıkçı Yaka Lotus Çiçeği ve Çizgi Desenli Alt Üst Takım,YEŞİL,"894,9",35.00,"581,69"
21K21128,Çiçek ve Yaprak Desenli Düğmeli Gömlek Yakalı Saten Pijama Takımı,ANTRASİT,"1131,9",35.00,"735,74"
21K21133,Balıkçı Yaka Çizgi Desenli Alt Üst Takım,KİREMİT,"979,9",35.00,"636,94"
21K21150,Çiçek ve Yaprak Desenli Gömlek Yakalı Boydan Düğmeli Gecelik,YEŞİL,"889,9",35.00,"578,44"
21K21156,"Yazı Baskılı ""We Are Happy"" Pijama Takımı",TARÇIN,"1140,9",35.00,"741,59"
21K21158,"Desenli ve Baskılı Önü Düğmeli ""Hello Cold Days"" Gecelik",YEŞİL,"827,9",35.00,"538,14"
21K21165,"Hayvan Ve Yazı Desenli ""So Cute Smile Cool"" Gecelik",BORDO,"904,9",35.00,"588,19"
21K21168,"Ayıcık Baskılı Çizgili Puantiye Desenli ""Sleep Time"" Gecelik",BEJ,"835,9",35.00,"543,34"
21K21175,"Fermuarlı Kapüşonlu ""New York Touch"" Baskılı Eşofman Takımı",GRİ,"1295,9",35.00,"842,34"
21K21181,Önü Düğmeli Geyik Baykuş Penguen Tilki Desenli G,LACİVERT,"821,9",35.00,"534,24"
21Y21000,Etnik Desenli Derin Yakalı Dökümlü Elbise,BORDO,"922,9",35.00,"599,89"
21Y21001,Etnik Desenli V Yakalı Dökümlü Elbise,BORDO,"929,9",35.00,"604,44"
21Y21007,Kuş ve Yaprak Desenli Önü Düğmeli Elbise,PETROL MAVİSİ,"911,9",35.00,"592,74"
21Y21009,Kuş ve Yaprak Desenli Omzu Açık Parçalı Elbise,PETROL MAVİSİ,"925,9",35.00,"601,84"
21Y21030,Yaprak Desenli Önü Boydan Düğmeli Parçalı Saten Elbise,VİŞNE,"960,9",35.00,"624,59"
21Y21032,Yaprak Desenli Kolu Fırfırlı Saten Alt Üst Takım,VİŞNE,"951,9",35.00,"618,74"
21Y21034,Yaprak Desenli Önü Boydan Düğmeli Saten Alt Üst Takım,VİŞNE,"1128,9",35.00,"733,79"
22K22103,Yaprak Desenli Gömlek Yakalı Boydan Düğmeli Pijama Takımı,SİYAH,"1595,9",35.00,"1037,34"
22K22112,Yakası Dantelli Nakışlı Pijama Takımı,TARÇIN,"1234,9",35.00,"802,69"
22K22113,"Çiçek Baskılı ""Dream It Wish It!"" Pijama Takımı",TARÇIN,"1202,9",35.00,"781,89"
22K22124,Etnik Desenli Gömlek Yakalı Önü Boydan Düğmeli Pijama Takımı,LACİVERT,"1613,9",35.00,"1049,04"
22K22130,Çiçek ve Yaprak Desenli Düğmeli Gömlek Yakalı Pijama Takımı,LACİVERT,"1377,9",35.00,"895,64"
22K22131,Dantelli ve Bağcık Detaylı Pijama Takımı,LACİVERT,"1225,9",35.00,"796,84"
22Y22007,Çiçek ve Yaprak Desenli Uzun Kollu Elbise,LACİVERT,"1220,9",35.00,"793,59"
22Y22014,Çiçek ve Yaprak Desenli Kuşaklı Sabahlık,LACİVERT,"1368,9",35.00,"889,79"
22Y22017,Çiçek ve Etnik Desenli Yakası Dantelli Önü Düğmeli Elbise,SİYAH,"1016,9",35.00,"660,99"
22Y22024,Çiçek ve Yaprak Desenli Elbise,YEŞİL,"1027,9",35.00,"668,14"
22Y22032,Desenli Puantiyeli Gömlek Yakalı Elbise,SİYAH-BEYAZ,"1353,9",35.00,"880,04"
22Y22034,Desenli Puantiyeli Gömlek Yakalı Pijama Takımı,SİYAH-BEYAZ,"1363,9",35.00,"886,54"
22Y22036,Puantiye Desenli V Yakalı Elbise,SİYAH-BEYAZ,"1120,9",35.00,"728,59"
22Y22038,Kuşak ve Dantel Detaylı Elbise,SİYAH,"1220,9",35.00,"793,59"
22Y22040,Puantiye Desenli Kolsuz Alt Üst Takım,SİYAH-BEYAZ,"984,9",35.00,"640,19"
22Y22041,Desenli Puantiyeli Yırtmaç Detaylı Sabahlık,SİYAH-BEYAZ,"1296,9",35.00,"842,99"
22Y22045,Çiçek ve Yaprak Desenli Sırt Dekolteli Elbise,TURUNCU,"1177,9",35.00,"765,64"
22Y22049,Çiçek ve Yaprak Desenli Uzun Kollu Elbise,SİYAH,"1177,9",35.00,"765,64"
22Y22053,Çiçek ve Yaprak Desenli Önü Düğmeli Elbise,SİYAH,"1093,9",35.00,"711,04"
22Y22069,Çiçek ve Yaprak Desenli Önü Düğmeli Gecelik,SİYAH,"908,9",35.00,"590,79"
22Y22073,Kapüşonlu Create Your New World Alt Üst Takım,YEŞİL,"1239,9",35.00,"805,94"
22Y22075,Kısa Kollu Nothing Changes Alt Üst Takım,EKRU,"1061,9",35.00,"690,24"
22Y22077,Kapüşonlu We All Need Change 3'lü Alt Üst Takım,MOR,"1279,9",35.00,"831,94"
22Y22080,"Afrika Etnik Baskılı Dantelli ""Africa Style"" Gecelik",BEJ,"869,9",35.00,"565,44"
22Y22081,"Afrika Etnik Desenli Dantelli ""Africa Style"" Şort Takımı",BEJ,"901,9",35.00,"586,24"
22Y22084,"Kedi ve Kalp Desenli ""Let's Make Happen"" Baskılı Şort Takımı",SOMON,"865,9",35.00,"562,84"
22Y22090,"Kiraz Baskılı ve Desenli Sırt Dekolteli ""Cherry"" Şort Takımı",SOMON,"890,9",35.00,"579,09"
22Y22092,Çiçek ve Yaprak Desenli Saten Etek Takımı,SİYAH,"1119,9",35.00,"727,94"
22Y22093,Çiçek ve Yaprak Desenli Önü Boydan Düğmeli Saten Elbise,SİYAH,"1372,9",35.00,"892,39"
22Y22094,"Yazı, Güneş ve Palmiye Baskılı ""Long Beach"" Pijama Takımı",BEYAZ,"1061,9",35.00,"690,24"
23K23120,Etnik Desenli Önü Düğmeli Alt Üst Takım,MOR,"2343,9",30.00,"1640,73"
23K23121,Etnik Desenli Sabahlık Takımı,MOR,"2859,9",30.00,"2001,93"
23K23122,Etnik Desenli 3'lü Pijama Takımı,MOR,"2999,9",30.00,"2099,93"
23K23123,Etnik Desenli Uzun Kollu Alt Üst Takım,MOR,"2058,9",30.00,"1441,23"
23K23124,Uzun Kollu Önü Düğmeli Kadife Alt Üst Takım,SİYAH,"1965,9",30.00,"1376,13"
23K23125,Uzun Kollu Yırtmaç Detaylı Kadife Elbise,SİYAH,"1227,9",30.00,"859,53"
23K23127,Uzun Kollu Kemer Detaylı Kadife Tulum,SİYAH,"1757,9",30.00,"1230,53"
23K23128,Desenli Sabahlık Takımı,SİYAH,"3139,9",30.00,"2197,93"
23K23130,Desenli Truvakar Kollu Saten Elbise,SİYAH,"2315,9",30.00,"1621,13"
23K23132,Uzun Kollu Saten Elbise,SİYAH,"2243,9",30.00,"1570,73"
23K23133,Desenli Uzun Kollu Saten Elbise,SİYAH,"2065,9",30.00,"1446,13"
23K23134,Desenli Uzun Kollu Düğmeli Saten Etek Takımı,SİYAH,"2331,9",30.00,"1632,33"
23K23135,Çiçek Desenli Dantelli ve Dekolteli Saten Sabahlık Takımı,YEŞİL,"3299,9",30.00,"2309,93"
23K23136,Çiçek Desenli 3'lü Saten Pijama Takımı,YEŞİL,"3379,9",30.00,"2365,93"
23K23137,Çiçek Desenli Truvakar Kollu Saten Elbise,YEŞİL,"2186,9",30.00,"1530,83"
23K23138,Çiçek Desenli Uzun Kollu Saten Alt Üst Takım,YEŞİL,"2257,9",30.00,"1580,53"
23K23139,Dantelli ve Dekolteli Kadife Sabahlık Takımı,BORDO,"2445,9",30.00,"1712,13"
23K23144,Çiçek ve Yaprak Desenli Önü Düğmeli Pijama Takımı,BORDO,"1754,9",30.00,"1228,43"
23K23146,"Çiçek ve Yaprak Desenli ""I'm Living In a Dreamland"" Pijama Takımı",BORDO,"1389,9",30.00,"972,93"
23K23148,Yaprak Desenli 3'lü Alt Üst Takım,YEŞİL,"2599,9",30.00,"1819,93"
23K23149,Yaprak Desenli Uzun Kollu Alt Üst Takım,YEŞİL,"1988,9",30.00,"1392,23"
23K23151,Desenli Önü Düğmeli Uzun Kollu 3'lü Alt Üst Takım,SİYAH,"1947,9",30.00,"1363,53"
23K23152,Desenli Uzun Kollu Alt Üst Takım,SİYAH,"1699,9",30.00,"1189,93"
23K23153,Desenli Uzun Kollu Elbise,SİYAH,"1566,9",30.00,"1096,83"
23K23154,Desenli Uzun Kollu Alt Üst Takım,TABA,"1736,9",30.00,"1215,83"
23K23155,Desenli 3'lü Alt Üst Takım,TABA,"2082,9",30.00,"1458,03"
23K23157,Kruvaze Yaka Kadife Pijama Takımı,YEŞİL,"2179,9",30.00,"1525,93"
23K23158,A star is born! Kadife Pijama Takımı,YEŞİL,"1836,9",30.00,"1285,83"
23K23159,Etnik Desenli Dantelli Sabahlık Takımı,MÜRDÜM,"2129,9",30.00,"1490,93"
23K23162,Yaprak Desenli Dantelli ve Dekolteli Sabahlık Takımı,LACİVERT,"1770,9",30.00,"1239,63"
23K23167,"Yaprak Desenli ""Romantic Life"" Sabahlık Takımı",LACİVERT,"1900,9",30.00,"1330,63"
23K23168,"Yaprak Desenli ""Romantic Life"" Pijama Takımı",LACİVERT,"1558,9",30.00,"1091,23"
23K23170,Yaprak Desenli Dantelli ve Dekolteli Sabahlık Takımı,SİYAH,"1751,9",30.00,"1226,33"
23K23171,"Yaprak Desenli ""Natural Vibes"" Pijama Takımı",SİYAH,"1512,9",30.00,"1059,03"
23K23172,"Yaprak Desenli ""Natural Vibes"" Şort Takımı",SİYAH,"1290,9",30.00,"903,63"
23K23174,Etnik Desenli Dantelli ve Dekolteli Sabahlık Takımı,MÜRDÜM,"1826,9",30.00,"1278,83"
23K23175,Etnik Desenli Dantelli Pijama Takımı,MÜRDÜM,"1506,9",30.00,"1054,83"
23K23176,Etnik Desenli Dantelli Şort Takımı,MÜRDÜM,"1293,9",30.00,"905,73"
23Y23000,Çiçek ve Yaprak Desenli Saten Sabahlık Takımı,PEMBE,"2719,9",35.00,"1767,94"
23Y23001,Çiçek ve Yaprak Desenli Saten Pijama Takımı,PEMBE,"2331,9",35.00,"1515,74"
23Y23002,Çiçek Yaprak ve Etnik* Desenli Saten Etek Takımı,PEMBE,"1898,9",35.00,"1234,29"
23Y23003,Çiçek Yaprak ve Etnik Desenli Önü Düğmeli Saten Alt Üst Takım,PEMBE,"2026,9",35.00,"1317,49"
23Y23005,Etnik Desenli Saten Alt Üst Takım,RENKLİ GEOMETRİK,"2132,9",35.00,"1386,39"
23Y23006,Etnik Desenli Saten Tulum,RENKLİ GEOMETRİK,"1962,9",35.00,"1275,89"
23Y23007,Etnik Desenli Saten Etek Takımı,RENKLİ GEOMETRİK,"1752,9",35.00,"1139,39"
23Y23008,Etnik Desenli Saten Alt Üst Takım,RENKLİ GEOMETRİK,"1888,9",35.00,"1227,79"
23Y23014,Yaprak Desenli Kısa Kollu Elbise,YEŞİL,"1557,9",35.00,"1012,64"
23Y23015,Yaprak Desenli Kısa Kollu Alt Üst Takım,YEŞİL,"1604,9",35.00,"1043,19"
23Y23016,Etnik Desenli Alt Üst Takım,LACİVERT,"1959,9",35.00,"1273,94"
23Y23017,Etnik Desenli Truvakar Kollu Elbise,LACİVERT,"1770,9",35.00,"1151,09"
23Y23018,Etnik Desenli Truvakar Kollu Alt Üst Takım,LACİVERT,"1545,9",35.00,"1004,84"
23Y23020,Çiçek Desenli Elbise,LACİVERT,"1780,9",35.00,"1157,59"
23Y23021,Çiçek Desenli Truvakar Kollu Elbise,LACİVERT,"1618,9",35.00,"1052,29"
23Y23022,Çiçek Desenli Truvakar Kollu Elbise,LACİVERT,"1502,9",35.00,"976,89"
23Y23025,Çiçek Desenli Elbise,SİYAH,"1579,9",35.00,"1026,94"
23Y23026,Çiçek Desenli Yırtmaç Detaylı Alt Üst Takım,SİYAH,"1956,9",35.00,"1271,99"
23Y23027,Gömlek Yakalı Kısa Kollu Elbise,SİYAH,"2087,9",35.00,"1357,14"
23Y23028,Dantelli Dekolteli ve Yırtmaçlı Sabahlık Takımı,SİYAH,"2144,9",35.00,"1394,19"
23Y23029,Çiçek Desenli Gömlek Yakalı Elbise,SİYAH,"2064,9",35.00,"1342,19"
23Y23031,Yaprak Desenli Uzun Kollu Saten Elbise,LACİVERT,"1696,9",35.00,"1102,99"
23Y23032,Yaprak Desenli Saten Etek Takımı,LACİVERT,"1494,9",35.00,"971,69"
23Y23033,Kısa Kollu Yrtmaç Detaylı Saten Elbise,LACİVERT,"1179,9",35.00,"766,94"
23Y23037,Yaprak Desenli Kısa Kollu Saten Elbise,LACİVERT,"1382,9",35.00,"898,89"
23Y23038,Dantelli Dekolteli Yaprak Desenli Saten Sabahlık Takımı,LACİVERT,"2249,9",35.00,"1462,44"
23Y23039,Yaprak Desenli Kuşak Detaylı Saten Alt Üst Takım,LACİVERT,"1832,9",35.00,"1191,39"
23Y23041,Yaprak Desenli Sıfır Kol Saten Alt Üst Takım,LACİVERT,"1252,9",35.00,"814,39"
23Y23042,Yaprak Desenli Yırtmaçlı Saten Sabahlık,LACİVERT,"1609,9",35.00,"1046,44"
23Y23043,Etnik Desenli 3'lü Alt Üst Takım,SİYAH,"2064,9",35.00,"1342,19"
23Y23046,Etnik Desenli Elbise,SİYAH,"1797,9",35.00,"1168,64"
23Y23047,Etnik Desenli Bağcık Detaylı Tulum,SİYAH,"1130,9",35.00,"735,09"
23Y23049,Etnik Desenli Gömlek Yakalı Önü Düğmeli Elbise,İNDİGO,"2061,9",35.00,"1340,24"
23Y23050,Etnik Desenli Gömlek Yakalı Önü Düğmeli Alt Üst Takım,İNDİGO,"1751,9",35.00,"1138,74"
23Y23052,Etnik Desenli Truvakar Kollu Elbise,MOR,"1798,9",35.00,"1169,29"
23Y23053,Etnik Desenli Sıfır Kol 3'lü Alt Üst Takım,MOR,"2261,9",35.00,"1470,24"
23Y23056,Etnik Desenli İp Askılı Tulum,MOR,"1388,9",35.00,"902,79"
23Y23057,Etnik Desenli Sıfır Kol Alt Üst Takım,MOR,"1232,9",35.00,"801,39"
23Y23059,Çiçek Desenli Kısa Kollu Alt Üst Takım,SİYAH,"1482,9",35.00,"963,89"
23Y23061,Çiçek Desenli Yırtmaçlı Etek Takımı,SİYAH,"1379,9",35.00,"896,94"
23Y23062,Etnik Desenli 3'lü Alt Üst Takım,LACİVERT,"1994,9",35.00,"1296,69"
23Y23064,Etnik Desenli Truvakar Kollu V Yaka Elbise,LACİVERT,"1627,9",35.00,"1058,14"
23Y23065,Etnik Desenli Tulum,LACİVERT,"1724,9",35.00,"1121,19"
23Y23066,Etnik Desenli Kısa Kollu Yırtmaçlı Elbise,LACİVERT,"1545,9",35.00,"1004,84"
23Y23070,Çiçek Desenli Kare Yaka Askılı Elbise,MOR,"1816,9",35.00,"1180,99"
23Y23071,Çiçek Desenli Kalın Askılı Etek Takımı,MOR,"1356,9",35.00,"881,99"
23Y23072,Çiçek Desenli V Yaka Alt Üst Takım,MOR,"1454,9",35.00,"945,69"
23Y23073,Çiçek Desenli Kısa Kollu Elbise,MOR,"1689,9",35.00,"1098,44"
23Y23074,Kısa Kollu V Yaka Elbise,SİYAH,"2402,9",35.00,"1561,89"
23Y23075,Truvakar Kollu V Yaka Elbise,SİYAH,"1956,9",35.00,"1271,99"
23Y23076,Truvakar Kollu V Yaka Elbise,SİYAH,"1877,9",35.00,"1220,64"
23Y23077,Truvakar Kollu V Yaka Elbise,BEYAZ,"2951,9",35.00,"1918,74"
23Y23078,Kayık Yakalı Elbise,BEYAZ,"2288,9",35.00,"1487,79"
23Y23079,Truvakar Kollu Önü Düğmeli Elbise,BEYAZ,"1893,9",35.00,"1231,04"
23Y23080,Çiçek Desenli Kısa Kollu Elbise,TURUNCU,"1857,9",35.00,"1207,64"
23Y23081,Çiçek Desenli Kısa Kollu Elbise,TURUNCU,"1613,9",35.00,"1049,04"
23Y23084,Kısa Kollu Stay Strong 3'lü Crop Alt Üst Takım,YEŞİL,"1384,9",35.00,"900,19"
23Y23085,"Kısa Kollu ""Stay Strong"" Eşofman Takımı",YEŞİL,"1856,9",35.00,"1206,99"
23Y23086,"Kısa Kollu ""Stay Strong"" Crop Eşofman Takımı",YEŞİL,"1619,9",35.00,"1052,94"
23Y23087,"Kısa Kollu ""Calm Down"" Eşofman Takımı",PEMBE,"1621,9",35.00,"1054,24"
23Y23088,Kısa Kollu Calm Down 3'lü Crop Alt Üst Takım,PEMBE,"1476,9",35.00,"959,99"
23Y23089,"Kapüşonlu ""Calm Down"" Eşofman Takımı",PEMBE,"1805,9",35.00,"1173,84"
23Y23090,"Kısa Kollu ""Never Give Up"" 3'lü Crop Eşofman Takımı",MAVİ,"1800,9",35.00,"1170,59"
23Y23091,Kapüşonlu 3'lü Crop Alt Üst Takım,MAVİ,"1697,9",35.00,"1103,64"
23Y23092,"Kısa Kollu ""Never Give Up"" Eşofman Takımı",MAVİ,"1219,9",35.00,"792,94"
23Y23093,"Çizgi Desenli ""Fearless"" Pijama Takımı",SİYAH-BEYAZ,"1558,9",35.00,"1013,29"
23Y23096,"Kapüşonlu ""Never Give Up"" Eşofman Takımı",SİYAH,"1789,9",35.00,"1163,44"
23Y23097,Kısa Kollu Baskılı Alt Üst Takım,SİYAH,"1249,9",35.00,"812,44"
23Y23098,"Çiçek ve Yaprak Baskılı ""Summer Vocation"" Pijama Takımı",LACİVERT,"1314,9",35.00,"854,69"
23Y23099,"Çiçek ve Yaprak Baskılı ""A Beautiful Summer Vocation"" Şort Takımı",LACİVERT,"1203,9",35.00,"782,54"
23Y23100,"Çiçek ve Yaprak Baskılı ""Summer Vocation"" Gecelik",LACİVERT,"1104,9",35.00,"718,19"
23Y23101,"Çiçek ve Yaprak Desenli ve Baskılı ""A Beautiful Summer Vocation"" Kapri Takımı",LACİVERT,"1254,9",35.00,"815,69"
