Ürün Kodu,Ürün Adı,Renk,Monamise Satış Fiyatı,İndirim Oranı (%),Monamise İndirimli Net Satış Fiyatı
18K18464,Göğüs ve Sırt Dekolteli Dantelli Yırtmaçlı Askılı Gecelik,AÇIK YEŞİL,"2121,9",30.00,"1485,33"
18K18465,Kısa Kollu V Yakalı Dantelli Pijama Takımı,AÇIK YEŞİL,"2473,9",30.00,"1731,73"
18K18467,Dantelli Önü Düğmeli Hamile Lohusa Sabahlık Takımı,AÇIK YEŞİL,"3621,9",30.00,"2535,33"
18K18468,Dantelli Önü Düğmeli Hamile Lohusa 3'lü Pijama Takımı,AÇIK YEŞİL,"3855,9",30.00,"2699,13"
18K18469,Dantelli Hamile Lohusa 3'lü Pijama Takımı,AÇIK YEŞİL,"3883,9",30.00,"2718,73"
18K18470,Dantelli Hamile Lohusa Sabahlık Takımı,AÇIK YEŞİL,"3583,9",30.00,"2508,73"
18K18480,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,KIRMIZI,"2021,9",30.00,"1415,33"
18K18481,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,KIRMIZI,"2123,9",30.00,"1486,73"
18K18482,Göğüs ve Sırt Dekolteli Dantelli Yırtmaçlı Askılı Gecelik,KIRMIZI,"2121,9",30.00,"1485,33"
18K18484,Kısa Kollu V Yakalı Dantelli Pijama Takımı,LACİVERT,"2473,9",30.00,"1731,73"
18K18485,Göğüs ve Sırt Dekoteli Brode Dantelli Yırtmaçlı Gecelik,HAKİ,"2121,9",30.00,"1485,33"
18K18486,Kısa Kollu V Yakalı Dantelli Pijama Takımı,VİZON,"2473,9",30.00,"1731,73"
18K18487,Yakası Kolu ve Omzu Dantelli Önü Düğmeli Gecelik,HAKİ,"2123,9",30.00,"1486,73"
18K18488,Kısa Kollu V Yakalı Dantelli Pijama Takımı,HAKİ,"2473,9",30.00,"1731,73"
18K18491,Göğüs ve Sırt Dekolteli Dantelli Yırtmaçlı Gecelik,KIRMIZI,"2319,9",30.00,"1623,93"
18K18492,Göğüs ve Sırt Dekolteli Dantelli Yırtmaçlı Gecelik,SİYAH,"2319,9",30.00,"1623,93"
18K18493,Göğüs ve Sırt Dekolteli Dantelli Yırtmaçlı Gecelik,HAKİ,"2319,9",30.00,"1623,93"
18K18494,Kısa Kollu V Yakalı Dantelli Pijama Takımı,SİYAH,"2473,9",30.00,"1731,73"
18K18495,Kısa Kollu V Yakalı Dantelli Pijama Takımı,KIRMIZI,"2473,9",30.00,"1731,73"
18K18507,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,SİYAH,"3325,9",30.00,"2328,13"
18K18508,Göğüs ve Sırt Dekoteli Brode Dantelli Yırtmaçlı Gecelik,KAHVE,"2121,9",30.00,"1485,33"
18K18509,Yakası Kolu ve Omzu Dantelli Önü Düğmeli Pijama Takımı,KAHVE,"2527,9",30.00,"1769,53"
18K18510,Yakası Kolu ve Omzu Dantelli Önü Düğmeli Gecelik,KAHVE,"2021,9",30.00,"1415,33"
18K18511,Yakası Kolu ve Omzu Dantelli Önü Düğmeli Gecelik,KAHVE,"2123,9",30.00,"1486,73"
18K18512,Kısa Kollu V Yakalı Dantelli Pijama Takımı,KAHVE,"2473,9",30.00,"1731,73"
18K18513,Kısa Kollu V Yakalı Dantelli Pijama Takımı,EKRU,"2473,9",30.00,"1731,73"
18K18519,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,EKRU,"3325,9",30.00,"2328,13"
18K18520,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,KIRMIZI,"3325,9",30.00,"2328,13"
18K18522,Dantelli Hamile Lohusa Sabahlık Takımı,YEŞİL,"3583,9",30.00,"2508,73"
18K18523,Dantelli Hamile Lohusa 3'lü Pijama Takımı,YEŞİL,"3883,9",30.00,"2718,73"
18K18529,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,HAKİ,"2021,9",30.00,"1415,33"
18K18533,Göğüs ve Sırt Dekoteli Brode Dantelli Yırtmaçlı Gecelik,EKRU,"2121,9",30.00,"1485,33"
18K18534,Dantelli Önü Düğmeli Hamile Lohusa Sabahlık Takımı,YEŞİL,"3621,9",30.00,"2535,33"
18K18535,Dantelli Önü Düğmeli Hamile Lohusa 3'lü Pijama Takımı,YEŞİL,"3855,9",30.00,"2699,13"
18K18536,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,YEŞİL,"2331,9",30.00,"1632,33"
18K18537,Yakası Omzu ve Paçası Dantelli Boydan Düğmeli Pijama Takımı,YEŞİL,"2731,9",30.00,"1912,33"
18K18538,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,YEŞİL,"2123,9",30.00,"1486,73"
18K18539,Yakası ve Sırtı Dekolteli Dantelli Yırtmaçlı Gecelik,YEŞİL,"2121,9",30.00,"1485,33"
18K18540,Yakası Kolu ve Omzu Dantelli Önü Düğmeli Pijama Takımı,YEŞİL,"2527,9",30.00,"1769,53"
18K18541,Kısa Kollu V Yakalı Dantelli Pijama Takımı,YEŞİL,"2473,9",30.00,"1731,73"
18K18542,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,YEŞİL,"2021,9",30.00,"1415,33"
18K18543,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Büyük Beden Gecelik,YEŞİL,"2229,9",30.00,"1560,93"
18K18544,Göğüs ve Sırt Dekolteli Dantelli Yırtmaçlı Gecelik,YEŞİL,"2319,9",30.00,"1623,93"
18K18545,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,YEŞİL,"3061,9",30.00,"2143,33"
18K18546,Dantelli ve Kuşaklı Sabahlık,YEŞİL,"2417,9",30.00,"1692,53"
18K18547,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,LACİVERT,"3325,9",30.00,"2328,13"
18K18548,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,LACİVERT,"3061,9",30.00,"2143,33"
18K18549,Dantelli ve Kuşaklı Sabahlık,LACİVERT,"2417,9",30.00,"1692,53"
18K18550,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,KAHVE,"3325,9",30.00,"2328,13"
18K18551,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,KAHVE,"3061,9",30.00,"2143,33"
18K18552,Dantelli ve Kuşaklı Sabahlık,KAHVE,"2417,9",30.00,"1692,53"
18K18553,Dantelli ve Kuşaklı Sabahlık,EKRU,"2417,9",30.00,"1692,53"
18K18554,Dantelli ve Kuşaklı Sabahlık,KIRMIZI,"2417,9",30.00,"1692,53"
18K18555,Dantelli ve Kuşaklı Sabahlık,SİYAH,"2417,9",30.00,"1692,53"
18K18556,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,YEŞİL,"3325,9",30.00,"2328,13"
18K18557,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,KIRMIZI,"3061,9",30.00,"2143,33"
18K18558,Yakası ve Sırtı Dekolteli Dantelli Yırtmaçlı Gecelik,LİLA,"2121,9",30.00,"1485,33"
18K18559,Göğüs ve Sırt Dekolteli Dantelli Yırtmaçlı Gecelik,LİLA,"2319,9",30.00,"1623,93"
18K18560,Kısa Kollu V Yakalı Dantelli Pijama Takımı,LİLA,"2473,9",30.00,"1731,73"
18K18561,Yakası Dantelli Kısa Kollu Gecelik,LİLA,"2151,9",30.00,"1506,33"
18K18562,Kısa Kollu Dantelli V Yaka Şort Takımı,LİLA,"2205,9",30.00,"1544,13"
18K18563,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,LİLA,"3061,9",30.00,"2143,33"
18K18564,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,LİLA,"3325,9",30.00,"2328,13"
18K18565,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,LİLA,"2123,9",30.00,"1486,73"
18K18566,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,LİLA,"2021,9",30.00,"1415,33"
18K18567,Yakası ve Sırtı Dekolteli Dantelli Yırtmaçlı Gecelik,MOR,"2121,9",30.00,"1485,33"
18K18568,Göğüs ve Sırt Dekolteli Dantelli Yırtmaçlı Gecelik,MOR,"2319,9",30.00,"1623,93"
18K18569,Kısa Kollu V Yakalı Dantelli Pijama Takımı,MOR,"2473,9",30.00,"1731,73"
18K18570,Yakası Dantelli Kısa Kollu Gecelik,MOR,"2151,9",30.00,"1506,33"
18K18571,Kısa Kollu Dantelli V Yaka Şort Takımı,MOR,"2205,9",30.00,"1544,13"
18K18572,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,MOR,"3061,9",30.00,"2143,33"
18K18573,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,MOR,"3325,9",30.00,"2328,13"
18K18574,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,MOR,"2123,9",30.00,"1486,73"
18K18575,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,MOR,"2021,9",30.00,"1415,33"
18K18576,Yakası Dantelli Kısa Kollu Gecelik,YEŞİL,"2151,9",30.00,"1506,33"
18K18577,Kısa Kollu Dantelli V Yaka Şort Takımı,YEŞİL,"2205,9",30.00,"1544,13"
18K18580,Yakası Dantelli Kısa Kollu Gecelik,SİYAH,"2151,9",30.00,"1506,33"
18K18581,Kısa Kollu Dantelli V Yaka Şort Takımı,SİYAH,"2205,9",30.00,"1544,13"
18K18582,Yakası Dantelli Kısa Kollu Gecelik,VİZON,"2151,9",30.00,"1506,33"
18K18583,Kısa Kollu Dantelli V Yaka Şort Takımı,VİZON,"2205,9",30.00,"1544,13"
18K18584,Yakası Dantelli Kısa Kollu Gecelik,BORDO,"2151,9",30.00,"1506,33"
18K18585,Kısa Kollu Dantelli V Yaka Şort Takımı,BORDO,"2205,9",30.00,"1544,13"
18K18586,Kısa Kollu V Yakalı Dantelli Pijama Takımı,BORDO,"2473,9",30.00,"1731,73"
18K18587,Yakası Dantelli Kısa Kollu Gecelik,LACİVERT,"2151,9",30.00,"1506,33"
18K18588,Kısa Kollu Dantelli V Yaka Şort Takımı,LACİVERT,"2205,9",30.00,"1544,13"
18K18589,Yakası Dantelli Kısa Kollu Gecelik,KAHVE,"2151,9",30.00,"1506,33"
18K18590,Kısa Kollu Dantelli V Yaka Şort Takımı,KAHVE,"2205,9",30.00,"1544,13"
18K18591,Yakası Dantelli Kısa Kollu Gecelik,AÇIK YEŞİL,"2151,9",30.00,"1506,33"
18K18592,Kısa Kollu Dantelli V Yaka Şort Takımı,AÇIK YEŞİL,"2205,9",30.00,"1544,13"
18K18593,Yakası Dantelli Kısa Kollu Gecelik,HAKİ,"2151,9",30.00,"1506,33"
18K18594,Kısa Kollu Dantelli V Yaka Şort Takımı,HAKİ,"2205,9",30.00,"1544,13"
18K18595,Yakası Dantelli Kısa Kollu Gecelik,KIRMIZI,"2151,9",30.00,"1506,33"
18K18596,Kısa Kollu Dantelli V Yaka Şort Takımı,KIRMIZI,"2205,9",30.00,"1544,13"
18K18597,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,YEŞİL,"2253,9",30.00,"1577,73"
18K18598,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,LACİVERT,"2253,9",30.00,"1577,73"
18K18599,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,VİZON,"2253,9",30.00,"1577,73"
18K18600,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,AÇIK YEŞİL,"2253,9",30.00,"1577,73"
18K18601,Yakası Dantelli Kısa Kollu Gecelik,EKRU,"2151,9",30.00,"1506,33"
18K18602,Kısa Kollu Dantelli V Yaka Şort Takımı,EKRU,"2205,9",30.00,"1544,13"
18K18603,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,EKRU,"2253,9",30.00,"1577,73"
18K18604,Dantel Detaylı Kısa Kollu ve Önü Düğmeli Gecelik,VİZON,"2115,9",30.00,"1481,13"
18K18605,Yakası Kolu Omzu ve Etek Ağzı Dantelli Önü Düğmeli Gecelik,VİZON,"2115,9",30.00,"1481,13"
18K18606,Dantel Detaylı Kısa Kollu ve Önü Düğmeli Gecelik,KAHVE,"2115,9",30.00,"1481,13"
18K18607,Yakası Kolu Omzu ve Eteği Dantelli Önü Düğmeli Gecelik,KAHVE,"2115,9",30.00,"1481,13"
18K18608,Dantel Detaylı Kısa Kollu ve Önü Düğmeli Gecelik,GRİ,"2115,9",30.00,"1481,13"
18K18609,Yakası Kolu ve Omzu ve Eteği Dantelli Önü Düğmeli Gecelik,GRİ,"2115,9",30.00,"1481,13"
18K18634,Yakası Kolu ve Omzu Dantelli Boydan Düğmeli Pijama Takımı,GRİ,"2731,9",30.00,"1912,33"
18K18635,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,GRİ,"2123,9",30.00,"1486,73"
18K18637,Yakası Kolu ve Omzu Dantelli Önü Düğmeli Pijama Takımı,GRİ,"2527,9",30.00,"1769,53"
18K18638,Kısa Kollu V Yakalı Dantelli Pijama Takımı,GRİ,"2473,9",30.00,"1731,73"
18K18639,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,GRİ,"2021,9",30.00,"1415,33"
18K18640,Yakası Dantelli Kısa Kollu Gecelik,GRİ,"2151,9",30.00,"1506,33"
18K18641,Kısa Kollu Dantelli V Yaka Şort Takımı,GRİ,"2205,9",30.00,"1544,13"
18K18642,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,GRİ,"2253,9",30.00,"1577,73"
18K18669,Dantelli Önü Düğmeli Hamile Lohusa 3'lü Pijama Takımı,GRİ,"3855,9",30.00,"2699,13"
18K18670,Dantelli Önü Düğmeli Hamile Lohusa Sabahlık Takımı,GRİ,"3621,9",30.00,"2535,33"
18K18671,Dantelli Hamile Lohusa 3'lü Pijama Takımı,GRİ,"3883,9",30.00,"2718,73"
18K18672,Dantelli Hamile Lohusa Sabahlık Takımı,GRİ,"3583,9",30.00,"2508,73"
19K19150,Dekolteli Brode Dantelli Sabahlık Takımı,EKRU,"3943,9",30.00,"2760,73"
19K19151,Dekolteli Brode Dantelli Şort Takımı,EKRU,"2433,9",30.00,"1703,73"
19K19152,Önü Düğmeli Brode Dantelli Pijama Takımı,EKRU,"3015,9",30.00,"2111,13"
19K19152B,Önü Düğmeli Brode Dantelli Büyük Beden Pijama Takımı,EKRU,"1443,9",30.00,"1010,73"
19K19153,Önü Düğmeli Brode Dantelli Kısa Kollu Gecelik,EKRU,"2783,9",30.00,"1948,73"
19K19153B,Önü Düğmeli Brode Dantelli Kısa Kollu Büyük Beden Gecelik,EKRU,"1305,9",30.00,"914,13"
19K19154,Önü Düğmeli Brode Dantelli Kapri Takımı,EKRU,"1689,9",30.00,"1182,93"
19K19154B,Önü Düğmeli Brode Dantelli Büyük Beden Kapri Takımı,EKRU,"1815,9",30.00,"1271,13"
